Tagalog,Part of Speech,Definition
hiphip,n,drinking by means of straw
hiphip,n,"forced, deep breathing"
hipig,n,nap; a short sleep
hipik,n,rise and fall of abdomen caused by breathing
hipno,n,copy
hipnosis,n,hypnosis
hipnotisahan,n,hypnotize; put into a hypnotic state
hipnotismo,n,hypnotism
hipnotismuhin,v,hypnotize; put into a hypnotic state
hipnuan,v,make a faithful copy (of something)
hipo,n,touch; touching; palpation
hipokondriya,n,hypochondria
hipokondriyak,n,hypochondriac
hipon,n,shrimp
hipong-alat,n,salt-water shrimp
hipong-ilog,n,river shrimp
hipuan,v,touch the delicate parts of another person
hipuin,v,1. touch; feel; 2. finger
hira,adj,confused; distracted
hira,n,slip/error caused by distraction; confusion
hiram,adj,borrowed; adapted (literary work)
hiraman,v,borrow (from someone)
hiraman,n,person/place where one borrow something
hiramin,v,borrow (some specific thing)
hirang,adj,chosen; selected; appointed
hirang,n,1. choice; 2. the chosen one (sweetheart); 3. person appointed to a position
hirangan,v,choose or pick out (from a group)
hirangin,v,1. appoint; nominate; 2. constitute (appoint); 3. delegate
hirap,adj,tired; weary; exhausted; poor
hirap,n,suffering; adversity; poverty; hardship; discomfort
hirapan,v,make something difficult
hirapin,v,"experience difficulties/poverty, etc."
hirasol,n,sunflower
Hirat,intrj,Thats's what you get! You deserve it!
hirati,adj,accustomed to
hiratihin,v,become accustomed to an act or a situation
hiraya,n,1. imagination; 2. vision; illusion
hirin,n,1. lump in the throat [also fig.]; choking; 2. not being able to swallow because of some emotion
hiringgilya,n,hypodermic syringe; syringe
hiris,adj,slanting
hirman,v,borrow (from someone)
hiro postal,comp,money order
hiso,n,cleaning of teeth
histerismo,n,hysteria
historya,n,history
hisuan,v,brush the teeth
hita,n,thigh
hitad,adj,lascivious; flirtatious (said of woman)
hitana,n,gypsy
hithit,n,licking up of liquid; inhalation; absorption
hithitin,v,"smoke; inhale smoke from cigarettes, etc."
hitik,adj,1. covered with fruit; 2. filled with; filled
hitit,n,licking up of liquid; inhalation; absorption
hititin,v,"smoke; inhale smoke from cigarettes, etc."
hito,n,species of edible fresh-water catfish
hitso,n,piece of betel nut wrapped in betel leaf with lime
hitsura,n,appearance; form; look
hiugat,n,extraction of root
hiwa,n,"1. cut; wound; incision; piece; 2. slice of fish, meat or cake"
hiwa-hiwain,v,cut into slices; make a cut; cut into
hiwa-hiwalay,adj,separated from each other; loose; not bound together
hiwaan,v,cut a mark (on something)
hiwaga,n,mystery
hiwain,v,cut into slices; make a cut; cut into
hiwalay,adj,separated; apart; secluded
hiwalay,n,separating self from another or others
hiwalayan,v,separate from; segregate oneself from
hiwas,adj,oblique; tilted; slanting; biased
hiwatig,n,hint; insinuation; implication; intimation
hiwid,adj,twisted; dislocated; awry; oblique; slanting
hiwis,adj,aslant
hiya,n,shame; humiliation; embarrassment; dishonour (US: dishonor)
hiyad,adj,standing with stomach protruding
hiyain,v,embarrass; dishonour (US: dishonor); humiliate
hiyang,adj,suited; compatible
hiyang-hiya,adj,red-faced; embarrassed
hiyangan,v,"agree; suit one (climate, food, etc.)"
hiyas,n,gem; jewel; jewelry; ornament; decoration
hiyasan,v,"put on jewels, gems, etc."
hiyaw,n,scream; shout; whoop; yell
hiyawan,v,shout; hoot; yell (at someone)
hiyawan,n,clamour (US: clamor)
ho,intrj,"equivalent to ""sir"", ""madam"""
hobi,n,hobby
holen,n,"small ball of marble used in game ""hole-in"""
holin,n,"small ball of marble used in game ""hole-in"""
Holmiyum,n,Holmium (Ho)
holster,n,holster
hom,n,home (home base in baseball)
hombes,n,home base (in baseball)
homosekswal,adj,homosexual; homosexual person
homran,n,base run in a baseball game
homsted,n,homestead (US)
hopya,n,cake stuffed with mashed beans and chopped pork
hornal,n,1. installment; instalment; 2. daily wage; 3. journal
hornalan,v,pay by instalments (US: installments)
hornalan,adj,paid by instalment (US: installment)
hornalan,n,amount paid by instalment (US: installment)
hornpels,n,hornfels (geology)
horspower,n,horsepower
hospicio,n,1. orphanage; 2. asylum
hospisyo,n,1. orphanage; 2. asylum
hostes,n,hostess
hota,n,"1. the letter ""J"" in Spanish; 2. Spanish dance and tune, adapted in Phil."
hotel,n,hotel
hototay,n,"Cantonese dish of chicken breast, carrots, poached eggs and broth"
Hoy! Oy!,intrj,answer to a call; exclamation of warning or calling attention
hoyo,n,golf hole
hubad,adj,naked or bare from the waist up
hubaran,v,undress someone
hubarin,v,disrobe; take off one's dress
hubdan,v,undress someone
hubelio,n,jubilee
hubero,n,piebald; spotted in two colours (US: colors)
hubli,n,cash payment with discount for crop share
hublian,v,pay for a crop share (with discount)
hubo,adj,undressed from the waits down
hubo't hubad,adj,bare; naked
hubog,adj,curved; slightly bent
hubog,n,"shape of an arc, arch or curve"
hubu't-hubad,adj,completely naked
hubugin,v,curve; bend slightly; form; shape; [fig.] discipline or train
Hudas,n,1. Judas; 2. any traitor [by ext.]
hudhod,n,scrubbing off dirt from the skin
hudikatura,n,judiciary; judgeship; magistracy
Hudio,n,jew
hudisyal,adj,judicial
Hudiyo,n,jew
hudyat,n,1. alert; alarm; 2. signal; 3. cue; 4. password
hudyat,n,alert; warning signal; watchword; password
hudyatan,v,signal (someone)
Hudyo,n,Jew
hugador,n,gambler
hugas,n,washing
hugas-bigas,n,water used to wash hulled rice and later used in boiling vegetables
hugasan,v,wash; do washing; bathe
hugasan,n,washbasin; washtub
hughog,n,"falling down or off (as loose trousers, etc.)"
hughog,n,ransacking (for something)
hughog,n,rinsing clothes
hugis,n,shape; form; fashion; mould (mold); model
hugis-itlog,adj,egg-shaped; oval
hugis-puso,adj,heart-shaped
hugis-rektanggulo,adj,rectangular (shape like a rectangle)
hugisan,v,give something a certain shape
hugisan,n,apparatus used for shaping things
hugisin,v,shape; form; cut things into shape; re-form
hugnayan,adj,complex [gram.]
hugong,n,buzz; buzzing; drone; hum; moan
hugos,n,"letting down a rope, cable or the like"
hugot,n,"1. drawing out ; 2. selecting from many; 3. adaptation (conduct, art, etc.)"
hugpong,n,1. juncture; 2. addition to an extremity
hugpungan,v,join another length to a previous one
hugusan,v,let down a rope or cable (to a person/place)
hugutin,v,1. pull out; unsheathe; 2. select; 3. adapt
huho,n,[by ext.] an overflow of people
huho,n,1. leakage/overflow of liquid/grain from container; 2. landslide
huhuan,v,pour something from one container to another container
huhuan,n,vessel into which the contents of another are poured
huhutan,n,handle
hukay,n,1. excavation; hole; pit; crater; 2. [by ext.] grave
hukay na libingan,comp,burial pit
hukay na patibong,comp,pitfall; hidden pit to catch animals in
hukayin,v,"dig or excavate; dig out, unearth"
hukayin ang ilalim,v,undermine; make a passage under
hukbo,n,army
hukbong-dagat,n,navy
hukbong-dagatan,n,navy
hukbong-kabayuhan,n,cavalry [mil.]
hukbong-kati,n,land army; army
hukbong-katihan,n,land army; army
hukbong-panghimpapawid,n,air force
hukbong-sandatahan,n,armed forces
hukbuhing paglilingkod,comp,military service
hukbuhing pamahalaan,comp,military government
huklay,adj,1. drooping (tree branches); 2. insipid; wanting in taste
huklo,n,ducking (lowering head to avoid a blow)
huklob,adj,decrepit; old and feeble; senile
hukluban,adj,decrepit; old and feeble; senile
hukod,n,bending of the body; bowing of the head
hukom,n,judge
hukong,adj,humpbacked
hukot,adj,stooping; round-shouldered
hukuman,v,pass judgement on someone; hear a case in court
hukuman,n,law court; tribunal; courthouse
Hukuman sa Paghahabol,comp,Court of Appeals
Hukumang,comp,Court of First Instance
hukumang-hukbo,n,court-martial; military court
Hukumang-militar,n,court-martial; military court
hukumang-panghukbo,n,court-martial; military court
hula,n,forecast; surmise; prophecy; augury; prognosis
hula-hula,n,guesswork
hulaan,v,prophesy; forecast; predict; guess
hulagpos,adj,untied; loosened from bindings/bonds
hulagpos,n,getting loose from something that ties or binds
hulapi,n,suffix; syllable added to the end of word
huli,adj,caught; apprehended; arrested
huli,adj,late; tardy; last; not up to schedule
huli,adj,senile
huli,adv,last; on the latest occasion
huli,n,tail-end; tail; back; rear
huli,n,catch; things caught in fishing/hunting
hulihan,n,game of catching each other
hulihan,n,tail-end; tail; back; rear
hulihan,n,balance of an account
hulihin,v,catch; seize; capture; take into custody
Huling Hapunan,n,the Last Supper
huling oras,comp,the last moment (eleventh hour)
huling-habilin,n,last will and testament
huling-paalam,n,last farewell
huling-rekurso,comp,last recourse
huling-salita,n,last word
hulip,n,"1. substitution of worn-out object, etc.; 2. mending nipa roof; 3. plant replacement"
hulma,n,moulded (US: molded) shape
hulmahan,n,mould (US: mold)
hulmahan ng sapatos,comp,mould like a foot used when making shoes
hulmahin,v,mould (US: mold)
hulo,n,"1. source of river, etc.; 2. higher part of a town/village"
hulo,n,rationalization; deduction through reasoning
hulog,adj,1. fallen; fallen down; 2. failed (in an exam)
hulog,n,1. fall; falling; 2. fall (morally); 3. failure in examination
hulog,n,capture
hulog,n,contribution/quota payed by a member
hulog,n,instalment (US: installment); paying by instalment
hulog,n,plumb line
hulog,n,significance; construction; interpretation; purport
hulog,n,translation
hulog ng langit,comp,gift from heaven
hulog-sapi,n,contribution/quota payed by a member
hulugan,v,let fall; descend on; throw down (on someone)
hulugan,v,test (e.g. the depth) with a plumb line
huluin,v,deduce; reach a conclusion by reasoning
hulwaran,n,pattern
Hulyo,n,July (the month of)
huma,n,talk; speach
humaba,v,lengthen; stretch
humabi,v,weave; form threads
humabi,v,step aside; get out of the way
humabol,v,chase; run after in order to overtake; hound; hunt; pursue
humadlang,v,1. obstruct; 2. prevent; 3. hamper; 4. barricade; 5. counteract
humagad,v,"run after, pursue or chase"
humagak,v,gasp; pant; whoop
humagakhak,v,become coarse or harsh (voice)
humagibis,v,flash by; come suddenly; move with high velocity
humagikgik,v,snicker; giggle
humagilap,v,grope; search blindly and uncertainly
humaging,v,1. whizz; rush with a hissing sound; 2. sigh; make a sound like a sigh
humaginit,v,1. whine; make a whining sound; 2. zip; swish by; 3. whistle
humagis,v,cast; throw; fling
humagod,v,massage
humagok,v,snore
humagpos,v,rub gently with the hands
humagulgol,v,weep or cry loudly; wail; howl
humagulhol,v,weep or cry loudly; wail; howl
humagunot,v,whine or roar (the wind)
humagupit,v,drub; thrash; beat hard repeatedly
humakbang,v,step; move the legs as in walking/dancing; stride
humakhak,v,1. gobble up; 2. [fig.] take all
humakot,v,transport; cart or carry away; shift
humal,adj,"having a marked, nasal twang"
humalagpos,v,"slip or slide out of bindings, etc.; get loose"
humalakhak,v,laugh loudly; guffaw
humalata,v,"notice, detect or tell"
humalaw,v,excerpt; quote; make a digest of a story
humalay,v,outrage; insult
humalibas,v,"throw or brandish a weapon; thrash with a long stick, cane, etc."
humalik,v,kiss
humalili,v,replace; release; relieve; be followed by
humalimhim,v,sit on eggs; brood; incubate
humalimuyak,v,give off a scent or fragrance
humalina,v,fascinate; charm
humaling,adj,having a great liking for
humaling,n,obsession
humalinghing,v,neigh; whinny; moan; groan
humalit,v,"detach, tear or rend by force"
humalo,v,mingle; mix with; associate with
humaltak,v,pull suddenly; jerk; pull out
humalubilo,v,mingle; intermingle; mix together
humalughog,v,ransack; search closely or minutely
humalukay,v,turn upside down; upset; turn topsy-turvy
humalukipkip,v,fold the arms
humaluyhoy,v,moan or groan because of pain
humamak,v,treat with contempt; scorn; despise
humambalos,v,hit hard; whack; flog
humambo,v,take a bath
humamog,v,form dew
humamon,v,challenge; dare; meet defiantly
humampas,v,flagellate; beat with a rod; hit; strike (hard); swat
humanap,v,seek; look for; pick; seek and find
humanay,v,line up; fall in line
humanda,v,prepare; get ready
humandulong,v,attack suddenly and fiercely
humandusay,v,lie prostrate or prone
humanga,v,admire; marvel at; wonder
humangga,v,culminate; end
humangin,v,blow (wind)
humango,v,extricate from difficulties; reclaim; save
humangos,v,gasp from breath; be out of breath
humantad,v,expose; show
humantong,v,stop; end; result in
humapaw,v,1. skim; remove from the top; 2. report something in a superficial manner
humapay,v,lean; bend; incline to the side; [fig.] become bankrupt
humapay-hapay,v,wabble; wobble
humapdi,v,"smart, sting, etc."
humapis,v,cause grief and despondency
humapit,v,"make tight, etc."
humaplas,v,apply a liniment
humaplit,v,1. flick (with a whip); 2. reprimand or verbally chastise
humaplos,v,gently stroke; tenderly massage
humapon,v,roost; settle for the night
humara-hara,v,block the way of others; hinder; obstruct
humarang,v,block the way; place an obstacle in the way
humarap,v,1. present oneself formally; 2. report; 3. attend to; 4. confront
humarap sa katotohanan,v,face the truth
humarok,v,snore
humasap,v,suffocate
humatak,v,pull; tow; haul
humataw,v,thrash; beat; hit
humati,v,1. divide in half; 2. divide into more than two parts; 3. go halves
humatol,v,1. judge; sentence; 2. convict; 3. adjudge
humatsing,v,sneeze
humawak,v,1. hold; 2. clasp; 3. manipulate; handle or treat with skill
humawi,v,"1. push away branches, etc,; 2. make a clearing; 3. part the hair, etc."
humaymay,n,peacefulness; quietude; tranquility (US)
humbak,n,trough between waves; depression in surface
humibang,v,make rather crazy; make delirious
humibas,v,become less intense; go down
humibay,v,sway due to weakness
humibi,v,"purse the lips, as if about to cry"
humibik,v,supplicate; plead; sob; lament
humibo,v,seduce someone by flattery
humiga,v,lie on; lie down; retire; repose; rest
humigab,v,gape; open the mouth wide as in yawning
humiging,v,drone; make a deep humming sound; buzz; hum
humigit,v,1. pull until tight; 2. excel; surpass
humigit-kumulang,adj,about; around; approximately; more or less
humigop,v,sip; drink little by little
humigpit,v,tighten; become tight
humihiling (ang -),n,"one who applies for a job, position, etc.; applicant"
humihingal,adj,out of breath; panting
humihingkod,adj,lame; limping
humihip,v,blow; blow on; blow out; blow into
humikab,v,yawn
humikayat,v,"1. persuade; press; 2. entice by pleasant words, etc."
humikbi,v,sob; cry or sigh with short quick breaths
humila,v,1. drag; haul; trail; 2. drag someone along; persuade
humila-hilata,v,lounge; sit or lie at ease and lazily
humilab,v,1. swell; rise; become distended; 2. move (fetus)
humilahod,v,plod; trudge; walk without lifting the feet
humilata,v,lie on one's back carelessly
humilera,v,file; keep in a row; line up in a row
humilig,v,1. recline; lean back; lie down; 2. slant; incline
humilik,v,snore
humiling,v,petition; ask earnestly; apply for; invite
humilot,v,massage
humimas,v,massage gently
humimas-himas,v,fondle; caress
humimig,v,croon; murmur in a low voice
humimlay,v,lie down (to rest or sleep)
humimod,v,lap up with the tongue; lick
humimok,v,persuade; induce; encourage; urge
humimpil,v,stop; stay temporarily; park
humina,v,1. abate; die down; 2. ebb; 4. soften; 5. slacken
huminahon,v,become appeased; become calm
huminay,v,slow down in action or manner of speaking
huminga,v,draw breath
huminga nang palabas,v,exhale; breathe out
humingal,v,lose the breath; pant
humingi,v,ask for; sue; requisition; require; demand
humingi ng katibayan,v,challenge; demand proof of
humingi ng paumanhin,v,excuse; ask pardon for
humingkod,v,limp
huminto,v,stop; stall; stop against one's wish; leave off
humipig,v,take a nap
